,Best_R2,Best_R2_CB_size,Best_R2_wcp,Best_MSE,Best_MSE_CB_size,Best_MSE_wcp
lorenz,0.001125155639438491,0,0.003470040816326531,94.05890142501994,0,0.003470040816326531
chua,-2.1008029169314097,0,0.006939081632653062,556.8798154137094,0,0.006939081632653062
duffing,-2.810463994963443,0,0.003470040816326531,7.938434902306903,0,0.003470040816326531
nose_hoover,-0.024780280317143966,0,1e-06,0.7595003059229425,0,1e-06
rikitake,-475542784.7229077,0,1e-06,988053338.1830232,0,1e-06
rossler,-0.005013811725192552,0,1e-06,0.005042969315438529,0,1e-06
wang,-0.8790828815815175,0,1e-06,0.636635634973611,0,1e-06
Sistema1,-0.41766849827868313,0,1e-06,1.3802996729683077,0,1e-06
Sistema 2,-2.5607152163171225,0,0.004898469387755102,1.8384117485698834,0,0.004898469387755102
Sistema 3,-1.627138823009219,0,0.009387816326530612,14153.704284155801,0,0.009387816326530612
