,Best_R2,Best_R2_CB_size,Best_R2_epsilon,Best_R2_sigma,Best_MSE,Best_MSE_CB_size,Best_MSE_epsilon,Best_MSE_sigma
lorenz,0.9349196465744842,47,0.0052641052631578955,0.1,6.128281818404092,47,0.0052641052631578955,0.1
chua,0.9988902567344311,86,0.0052641052631578955,0.1,0.19930116213196122,86,0.0052641052631578955,0.1
duffing,0.9531413554956325,500,1e-06,0.1,0.09723168734655883,500,1e-06,0.1
nose_hoover,0.9994831082072089,500,1e-06,0.1,0.0003822472662030973,500,1e-06,0.1
rikitake,0.9999124114298377,500,1e-06,0.1,0.00018128246019672885,500,1e-06,0.1
rossler,0.9954705579317445,500,1e-06,0.1,2.0124928659266035e-05,500,1e-06,0.1
wang,0.9984874729679094,500,1e-06,0.1,0.0005130187300434569,500,1e-06,0.1
Sistema 1,0.5467418399495011,500,1e-06,0.1,0.40195462588472075,500,1e-06,0.1
Sistema 2,0.999142711845378,29,0.0052641052631578955,0.1,0.00044262136105258575,29,0.0052641052631578955,0.1
Sistema 3,0.8755249254136102,14,0.021053421052631582,0.1,670.6091741379655,14,0.021053421052631582,0.1
