,Best_R2,Best_R2_CB_size,Best_R2_epsilon,Best_MSE,Best_MSE_CB_size,Best_MSE_epsilon
lorenz,-0.766108988104985,458,1.103010033444816,164.60578870059953,458,1.103010033444816
chua,0.9538940462582888,500,0.1,8.296860065446754,500,0.1
duffing,0.9531413554956325,500,0.1,0.09723168734655883,500,0.1
nose_hoover,0.9994831082072089,500,0.1,0.0003822472662030973,500,0.1
rikitake,0.9999246935631252,1,1.103010033444816,0.00015586207332769737,1,1.103010033444816
rossler,0.9954705579317445,500,0.1,2.0124928659266035e-05,500,0.1
wang,0.9984874729679094,500,0.1,0.0005130187300434569,500,0.1
Sistema 2,0.5723516141719973,201,0.1,0.4172102460178847,201,0.1
Sistema 2,0.9947955110373806,500,0.1,0.002692153715770984,500,0.1
Sistema 3,-1.4116352515310253,500,0.1,12979.70424093039,500,0.1
