prueba,cb_gmm,r2_gmm,cb_bgmm,r2_bgmm
Lorenz,21.46153846153846,0.883387414893655,5,0.8696048260765856
Chua,31.69230769230769,0.8130373683781176,3,0.8751356396835223
Duffing,52.153846153846146,0.8207806820900897,5,0.6608772486045948
Nose Hoover,31.69230769230769,0.893852698936459,3,0.985932740814842
Rikitake,21.46153846153846,0.9360400313987542,4,0.9372269523380898
Rossler,62.38461538461538,0.940599994016868,3,0.6766500520066089
Wang,41.92307692307692,0.889817498200446,4,0.930962550873454
Sistema,72.61538461538461,0.5414073455416464,2,0.4892968951696923
Sistema 2,11.23076923076923,0.8294330960490524,21,0.9113199408380296
Sistema 3,52.153846153846146,0.8388627045779569,3,0.6400850486123115
